//M. Fiqhi Hidayatulah-Sistem Klasifikasi Kesegaran Daging Ikan Gurami berdasarkan Warna dan Gas Amonia menggunakan K-Nearest Neighbor (KNN) berbasis Arduino

RED	GREEN	BLUE	PPM	KELAS
238	255	204	0	1
221	238	123	0	1
136	145	153	0	1
145	145	153	0	1
187	196	153	0	1
162	179	184	0	1
170	187	143	1	1
187	187	113	1	1
119	187	133	0	1
153	157	102	0	1
153	102	102	0	1
187	145	143	1	1
162	179	123	0	1
136	145	123	0	1
136	153	92	0	1
179	221	102	0	1
145	162	102	0	1
128	145	123	1	1
128	145	92	1	1
128	153	102	1	1
128	153	92	1	1
111	126	72	1	1
85	102	41	2	1
128	153	92	2	1
136	153	41	3	1
94	102	41	3	1
136	102	31	5	1
68	77	31	4	1
68	94	31	4	1
119	145	92	5	1
162	187	82	2	1
151	77	71	6	1
102	128	72	8	1
111	145	92	8	1
85	111	62	9	1
119	153	102	9	1
119	94	31	10	1
111	136	82	11	1
111	136	82	12	1
85	128	51	13	1
43	119	62	14	1
51	77	21	14	1
34	111	51	16	1
77	102	41	17	1
102	136	82	18	1
128	162	51	19	1
102	136	72	20	1
43	60	72	21	2
85	102	21	23	2
85	111	51	26	2
68	94	41	27	2
77	51	41	28	2
43	68	11	29	2
85	111	51	29	2
60	85	51	29	2
77	102	31	30	2
69	94	31	32	2
77	102	31	32	2
77	102	21	33	2
69	94	21	33	2
60	85	21	42	2
43	68	62	43	2
77	102	31	44	2
60	85	31	44	2
60	85	11	47	2
77	102	31	48	2
60	77	11	49	2
60	77	0	51	2
51	68	0	52	3
77	34	0	56	3
43	60	0	60	3
34	60	0	62	3
26	43	0	63	3
34	51	0	64	3
43	26	0	64	3
17	68	0	70	3
17	43	0	72	3
51	60	0	81	3
85	83	0	86	3
34	43	0	96	3
