//Hamdan Bagus Firmansyah-Implementasi Sistem Penentuan Kesegaran Daging Sapi Lokal Berdasarkan Warna dan Kadar Amonia Dengan Metode Jaringan Saraf Tiruan Berbasis Embedded System

RED	GREEN	BLUE	PPM	KELAS
127	72	71	25	1
131	68	62	24	1
127	72	68	22	1
118	59	56	20	1
117	58	56	21	1
114	59	55	19	1
118	71	67	20	1
122	71	67	21	1
112	60	56	20	1
121	68	62	22	1
115	69	55	19	1
110	66	58	21	1
111	68	62	23	1
125	70	66	21	1
115	55	57	20	1
110	60	56	18	1
113	65	66	19	1
112	64	56	21	1
123	68	63	18	1
109	66	54	16	1
117	58	57	22	1
118	59	56	20	1
114	59	55	19	1
125	71	67	19	1
124	69	60	21	1
118	59	55	21	1
114	59	55	18	2
109	63	65	13	2
109	55	62	10	2
101	55	52	9	2
105	59	55	7	2
104	51	53	7	2
108	62	64	13	2
107	65	65	13	2
106	62	64	13	2
101	55	61	10	2
96	42	26	7	2
99	46	46	7	2
101	55	52	10	2
109	63	65	13	2
98	47	46	9	2
109	62	64	13	2
109	53	61	10	2
106	51	51	9	2
105	55	52	10	2
109	55	62	10	2
105	57	54	9	2
100	60	60	10	2
109	63	65	12	2
101	57	53	13	2
105	59	55	9	2
96	54	62	10	2
105	59	55	9	2
80	62	64	13	3
87	46	49	11	3
74	42	43	9	3
74	42	43	8	3
61	34	37	7	3
65	34	37	7	3
87	42	46	8	3
79	42	43	8	3
85	42	49	7	3
79	46	43	7	3
83	46	49	6	3
61	34	37	6	3
61	34	46	6	3
71	34	46	7	3
73	41	42	9	3
71	41	45	9	3
77	41	43	8	3
65	34	38	6	3
70	42	44	9	3
65	34	38	7	3
80	42	46	7	3
61	32	37	7	3
72	42	41	8	3
63	34	35	6	3
62	35	37	6	3
70	41	42	8	3
60	34	46	5	3
68	38	46	6	3
